Year,Model,Total Score,Total Possible,Accuracy,Total Questions,Type 1 Right,Type 1 Possible,Type 2 Right,Type 2 Possible,Type 3 Right,Type 3 Possible
2007,claude3h,30.02644770959378,37,0.8115256137728049,4,25,31,5.026447709593777,6,0,0
2007,gemini1.5p,7.656657238084703,39,0.19632454456627443,5,6,31,1.6566572380847033,8,0,0
2007,gpt4,7.782603747592545,39,0.1995539422459627,5,3,31,4.782603747592545,8,0,0
2007,gpt4om,18.919035087719298,39,0.48510346378767427,5,16,31,2.9190350877192985,8,0,0
2007,o1strawberry,13.02167487684729,37,0.3519371588337106,4,9,31,4.021674876847291,6,0,0
2008,gpt4o,38.22931023258202,69,0.5540479743852467,5,0,9,37.22931023258203,58,1,2
2008,gemini1.5p,35.616671288634585,69,0.5161836418642693,5,0,9,34.61667128863458,58,1,2
2008,gpt4,37.43011028739884,69,0.5424653664840412,5,0,9,36.43011028739883,58,1,2
2008,gpt4om,31.690664520302548,67,0.4729949928403365,5,0,9,30.690664520302544,56,1,2
2008,o1strawberry,46.693132939525185,69,0.6767120715873215,5,0,9,45.69313293952518,58,1,2
2009,gpt4o,26.572969495150296,55,0.4831448999118236,4,4,21,21.572969495150296,32,1,2
2009,claude3.5s,35.71273600103673,55,0.6493224727461224,4,10,21,23.712736001036724,32,2,2
2009,claude3o,41.45788519682241,65,0.6378136184126525,4,8,21,32.45788519682241,42,1,2
2009,claude3h,36.475264506917455,65,0.5611579154910378,4,5,21,29.47526450691746,42,2,2
2009,gemini1.5p,27.92141105773527,65,0.42956017011900416,4,7,21,19.921411057735266,42,1,2
2009,gpt4,39.26878228212939,65,0.6041351120327599,4,8,21,30.2687822821294,42,1,2
2009,gpt4om,28.64285177789946,65,0.4406592581215301,4,4,21,23.642851777899462,42,1,2
2009,o1strawberry,34.74694359192964,59,0.5889312473208415,4,7,17,26.746943591929643,40,1,2
2010,gpt4o,34.07563828464639,72,0.47327275395342205,4,5,18,27.07563828464639,50,2,4
2010,claude3.5s,50.64175415312558,72,0.7033576965711886,4,4,18,44.64175415312558,50,2,4
2010,claude3o,31.499529976859623,72,0.4374934719008281,4,11,18,19.49952997685962,50,1,4
2010,claude3h,26.67212102654827,72,0.370446125368726,4,1,18,25.672121026548268,50,0,4
2010,gemini1.5p,31.16174980955109,72,0.4328020806882096,4,4,18,25.16174980955109,50,2,4
2010,gpt4,57.391146202129804,72,0.7970992528073584,4,13,18,43.39114620212981,50,1,4
2010,gpt4om,23.618669003844992,72,0.3280370694978471,4,3,18,18.618669003844992,50,2,4
2010,o1strawberry,44.90570661887525,72,0.6236903697066007,4,4,18,38.90570661887525,50,2,4
2011,gpt4o,25.94604399839175,57,0.45519375435775,4,9,33,15.946043998391751,22,1,2
2011,gemini1.5p,22.57560738319951,57,0.3960632874245528,4,8,33,14.57560738319951,22,0,2
2011,gpt4,21.884926984840263,57,0.38394608745333797,4,7,33,14.884926984840263,22,0,2
2011,gpt4om,17.215440911663322,57,0.3020252791519881,4,8,33,9.215440911663322,22,0,2
2011,o1strawberry,38.31710011061155,57,0.672229826501957,4,23,33,14.317100110611548,22,1,2
2012,gpt4o,71.53369529963369,105,0.6812732885679399,5,12,21,58.5336952996337,78,1,6
2012,claude3o,51.79400790395821,105,0.49327626575198297,5,12,21,37.79400790395822,78,2,6
2012,gemini1.5p,68.71864715722263,105,0.6544633062592632,5,5,21,62.71864715722265,78,1,6
2012,gpt4om,70.17472094065934,105,0.6683306756253271,5,12,21,58.17472094065934,78,0,6
2012,o1strawberry,62.40720662129711,105,0.5943543487742582,5,4,21,57.4072066212971,78,1,6
2013,gpt4o,14.97222138802967,47,0.3185579018729717,5,14,43,0.9722213880296705,4,0,0
2013,claude3.5s,47.0,47,1.0,5,43,43,4.0,4,0,0
2013,claude3o,21.210214241763158,47,0.4512811540800672,5,21,43,0.21021424176315937,4,0,0
2013,claude3h,16.48321918340089,47,0.3507067911361892,5,16,43,0.4832191834008915,4,0,0
2013,gemini1.5p,6.651821862348179,47,0.1415281247308123,5,5,43,1.6518218623481782,4,0,0
2013,gpt4,56.05723905723906,57,0.9834603343375273,5,43,43,13.057239057239057,14,0,0
2013,gpt4om,24.87317073170732,47,0.5292163985469642,5,23,43,1.8731707317073172,4,0,0
2013,o1strawberry,14.117369626734943,47,0.3003695665262754,5,13,43,1.1173696267349413,4,0,0
2014,gpt4o,39.28501147882744,107,0.36714963998904154,5,0,1,37.28501147882743,102,2,4
2014,claude3o,39.105234218346126,107,0.365469478676132,5,0,1,36.105234218346105,102,3,4
2014,claude3h,92.83065526147188,107,0.8675762173969335,5,0,1,90.83065526147183,102,2,4
2014,gemini1.5p,37.808357182688006,107,0.35334913254848604,5,0,1,34.80835718268799,102,3,4
2014,gpt4,58.30643373794925,107,0.5449199414761612,5,0,1,56.306433737949234,102,2,4
2014,gpt4om,56.527047078008096,107,0.5282901596075523,5,0,1,54.52704707800809,102,2,4
2014,o1strawberry,72.8662369770806,107,0.6809928689446786,5,0,1,71.8662369770806,102,1,4
2015,gpt4o,64.7122599547778,126,0.5135893647204588,5,24,58,38.71225995477781,64,2,4
2015,claude3.5s,66.82275783198882,126,0.5303393478729271,5,24,58,41.82275783198883,64,1,4
2015,claude3o,122.0,126,0.9682539682539683,5,55,58,64.0,64,3,4
2015,claude3h,65.96474248256473,126,0.5235297022425772,5,19,58,45.96474248256473,64,1,4
2015,gemini1.5p,57.54790276208277,126,0.4567293870006569,5,19,58,36.54790276208278,64,2,4
2015,gpt4,56.74835941390742,126,0.45038380487228113,5,17,58,38.74835941390743,64,1,4
2015,gpt4om,54.450447543833455,126,0.4321464090780433,5,12,58,39.45044754383346,64,3,4
2015,o1strawberry,82.69724857223582,126,0.6563273696209192,5,32,58,49.69724857223582,64,1,4
2016,gpt4o,50.24389763937091,103,0.487804831450203,5,22,51,28.243897639370903,52,0,0
2016,claude3.5s,42.50763877593899,103,0.41269552209649507,5,7,51,35.50763877593899,52,0,0
2016,claude3o,38.345922413624464,103,0.3722905088701404,5,4,51,34.34592241362446,52,0,0
2016,claude3h,35.62348085741557,103,0.3458590374506366,5,1,51,34.62348085741557,52,0,0
2016,gemini1.5p,33.77516732643136,103,0.3279142458876831,5,4,51,29.77516732643136,52,0,0
2016,gpt4,68.34303200858125,103,0.663524582607585,5,36,51,32.34303200858125,52,0,0
2016,gpt4om,23.91730453584026,103,0.23220684015378892,5,2,51,21.917304535840263,52,0,0
2016,o1strawberry,38.516372435757575,103,0.373945363453957,5,8,51,30.516372435757567,52,0,0
2017,gpt4o,39.01643953996204,77,0.506707007012494,4,0,1,39.01643953996205,76,0,0
2017,claude3.5s,55.47389158968029,73,0.7599163231463054,4,1,1,54.473891589680306,72,0,0
2017,claude3o,53.19631683129058,73,0.7287166689217888,4,1,1,52.19631683129058,72,0,0
2017,claude3h,50.06636874669691,89,0.5625434690640102,4,0,1,50.066368746696924,88,0,0
2017,gemini1.5p,26.534698567613145,73,0.3634890214741527,4,0,1,26.53469856761315,72,0,0
2017,gpt4,52.19159526979499,73,0.7149533598602054,4,0,1,52.191595269794995,72,0,0
2017,gpt4om,49.89264731812753,89,0.5605915429003093,4,0,1,49.892647318127544,88,0,0
2017,o1strawberry,55.70688290355411,89,0.6259200326242035,4,0,1,55.70688290355412,88,0,0
2018,gpt4o,44.522306638621394,88,0.5059353027116068,5,8,40,35.5223066386214,46,1,2
2018,claude3.5s,42.98444216801437,88,0.4884595700910724,5,7,40,35.98444216801437,46,0,2
2018,claude3o,48.74913580897577,88,0.5539674523747247,5,12,40,36.74913580897577,46,0,2
2018,claude3h,41.26633576459689,88,0.46893563368860103,5,5,40,35.26633576459688,46,1,2
2018,gemini1.5p,54.474736683376854,88,0.6190310986747369,5,17,40,36.474736683376854,46,1,2
2018,gpt4,40.856861253069084,88,0.4642825142394214,5,4,40,35.85686125306909,46,1,2
2018,gpt4om,45.885201358492644,88,0.5214227427101437,5,14,40,31.88520135849264,46,0,2
2018,o1strawberry,47.44044923750717,88,0.5390960140625815,5,10,40,37.44044923750717,46,0,2
2019,gpt4o,77.50453756836569,135,0.5741076856915978,5,35,63,42.50453756836569,72,0,0
2019,claude3.5s,86.36632014363518,135,0.6397505195824829,5,36,63,50.36632014363518,72,0,0
2019,claude3o,85.10292235468887,135,0.6303920174421398,5,36,63,49.10292235468887,72,0,0
2019,claude3h,79.06294464126796,135,0.5856514417871701,5,36,63,43.06294464126797,72,0,0
2019,gemini1.5p,53.868985644455414,135,0.3990295232922623,5,10,63,43.86898564445542,72,0,0
2019,gpt4,75.85045511135479,135,0.5618552230470725,5,34,63,41.850455111354776,72,0,0
2019,gpt4om,70.65197508191568,134,0.5272535453874304,5,34,62,36.65197508191567,72,0,0
2019,o1strawberry,43.492884916714985,102,0.4264008325168136,5,0,30,43.49288491671499,72,0,0
2021,gpt4o,35.86105038308008,106,0.3383117960667932,5,2,36,33.86105038308008,68,0,2
2021,claude3.5s,49.14859360874012,106,0.46366597744094457,5,6,36,43.14859360874012,68,0,2
2021,claude3o,46.45048415583219,106,0.4382121146776622,5,4,36,42.450484155832186,68,0,2
2021,claude3h,39.98568287063602,106,0.377223423307887,5,2,36,36.98568287063602,68,1,2
2021,gemini1.5p,38.244188287047784,106,0.3607942291230923,5,0,36,37.244188287047784,68,1,2
2021,gpt4,37.83628965699736,106,0.3569461288395977,5,3,36,33.836289656997366,68,1,2
2022,gpt4o,26.564232301706458,71,0.3741441169254431,5,6,31,20.564232301706465,40,0,0
2022,claude3.5s,44.081074562942256,127,0.34709507529875794,5,15,87,29.081074562942252,40,0,0
2022,claude3o,41.70704272833434,104,0.40102925700321485,5,13,64,28.707042728334347,40,0,0
2022,claude3h,21.654901392253436,104,0.2082202056947446,5,3,64,18.654901392253436,40,0,0
2022,gemini1.5p,32.44555403645422,104,0.3119764811197521,5,5,64,27.44555403645422,40,0,0
2022,gpt4,22.47031795674149,104,0.21606074958405277,5,1,64,21.47031795674149,40,0,0
2022,gpt4om,27.865414362156542,104,0.2679366765591975,5,12,64,15.865414362156544,40,0,0
2022,o1strawberry,33.38835604093741,104,0.32104188500901354,5,7,64,26.38835604093741,40,0,0
2023,gpt4o,43.046340567592495,84,0.5124564353284821,5,5,16,37.04634056759249,66,1,2
2023,claude3.5s,50.08740404468388,84,0.59627861957957,5,2,16,47.08740404468389,66,1,2
2023,claude3o,48.296705002605584,84,0.5749607738405427,5,3,16,44.296705002605584,66,1,2
2023,claude3h,42.524998263648556,84,0.5062499793291495,5,3,16,38.52499826364856,66,1,2
2023,gemini1.5p,46.415601909492146,84,0.552566689398716,5,3,16,42.415601909492146,66,1,2
2023,gpt4,33.45081462854554,84,0.39822398367316114,5,1,16,32.45081462854554,66,0,2
2023,gpt4om,39.57547063497414,84,0.4711365551782635,5,0,16,39.57547063497413,66,0,2
2023,o1strawberry,48.395944674238194,84,0.5761421985028357,5,1,16,46.395944674238216,66,1,2
